ID PROCESSO;CODIDCE PRODOTTO;CODICE CHIMICA;CODICE SACCO;PESO REALE SACCO;CODICI COMPONENTI PESO;CODICE COLORE;CODICE CLIENTE;DATA DI PRODUZIONE;CODICE OPERATORE;CODICE COMPONENTE IN;TIPO PROCESSO;INFO 1;INFO 2;INFO 3;INFO 4;INFO 5;INFO 6;INFO 7;INFO 8;INFO 9;INFO 10
46 ;COL25;KCOL2500000756923;RFFF;23620;3_0.11_50;;Cliente sconosciuto;2021-05-19 17:56:26.0;null;;null;null;null;null;null;null;null;null;null;null;null
47 ;COL25;KCOL2500000756923;UJJJ;14440;3_0.11_50;;Cliente sconosciuto;2021-05-19 17:57:35.0;null;;null;null;null;null;null;null;null;null;null;null;null
48 ;COL25;KCOL2500000756923;YHHHH;13130;3_0.11_50;;Cliente sconosciuto;2021-05-19 17:58:35.0;null;;null;null;null;null;null;null;null;null;null;null;null
49 ;COL25;KCOL2500000744142;UJJJ;24810;11_66750.3_40150;;Cliente sconosciuto;2021-05-19 18:11:39.0;null;;null;null;null;null;null;null;null;null;null;null;null
50 ;COL25;KCOL2500000744142;TGGGG;25000;11_66750.3_40150;;Cliente sconosciuto;2021-05-19 18:12:13.0;null;;null;null;null;null;null;null;null;null;null;null;null
51 ;COL25;KCOL2500000744142;YHHH;23840;11_66750.3_40150;;Cliente sconosciuto;2021-05-19 18:13:56.0;null;;null;null;null;null;null;null;null;null;null;null;null
52 ;COL25;KCOL2500000744142;UJJJ;25090;11_66750.3_40150;;Cliente sconosciuto;2021-05-19 18:14:39.0;null;;null;null;null;null;null;null;null;null;null;null;null
53 ;COL28;KCOL2500000756922;QQ;24750;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-19 18:43:58.0;null;;null;null;null;null;null;null;null;null;null;null;null
54 ;COL28;KCOL2500000756922;UJJJ;24790;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-19 18:44:47.0;null;;null;null;null;null;null;null;null;null;null;null;null
55 ;COL28;KCOL2500000756922;UJJ.;23400;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-19 18:46:02.0;null;;null;null;null;null;null;null;null;null;null;null;null
56 ;COL28;KCOL2500000756922;UJJJ;24850;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-19 18:46:56.0;null;;null;null;null;null;null;null;null;null;null;null;null
57 ;COL28;KCOL2500000756922;UJJJ;370;188_0.146_0.3_0;;Cliente sconosciuto;2021-05-19 19:18:07.0;null;;null;null;null;null;null;null;null;null;null;null;null
58 ;COL28;KCOL2500000756922;UJJJJJ;230;188_0.146_0.3_0;;Cliente sconosciuto;2021-05-19 19:18:33.0;null;;null;null;null;null;null;null;null;null;null;null;null
59 ;COL28;KCOL2500000756922;IKKKJ;320;188_0.146_0.3_0;;Cliente sconosciuto;2021-05-19 19:18:59.0;null;;null;null;null;null;null;null;null;null;null;null;null
60 ;COL28;KCOL2500000756922;IKKK;250;188_0.146_0.3_0;;Cliente sconosciuto;2021-05-19 19:19:48.0;null;;null;null;null;null;null;null;null;null;null;null;null
